"","Total","Media","DesvPad","Minimo","Maximo"
"1",-66018.1059871074,-66.0181059871074,1023.48633910358,-2947.3362048215,3602.37817782209
"2",-505554.279722196,-505.554279722196,947.290914149751,-2947.3362048215,2412.16701385407
"3",-915982.319078045,-915.982319078045,848.942351360459,-3117.22387610808,1936.55886287272
"4",-1266754.93685833,-1266.75493685833,786.270913166751,-4329.36553275576,1744.6817749307
"5",-1610801.59339802,-1610.80159339802,712.469961440356,-4329.36553275576,947.995886766902
"6",-1911912.81659429,-1911.91281659429,690.602652715285,-4329.36553275576,519.951129664412
"7",-2191028.10111815,-2191.02810111815,646.067185066045,-4717.09009964268,-103.059702748845
"8",-2482832.75129239,-2482.83275129239,627.029762424595,-4717.09009964268,-256.741860279369
"9",-2774027.26195156,-2774.02726195156,668.968501178092,-4919.24578434664,-895.22016544515
"10",-3073008.3965043,-3073.0083965043,638.994938200341,-4948.9510767285,-822.169187886131
"11",-3362859.30536579,-3362.85930536579,655.537901757987,-5766.28683622727,-978.470208304378
"12",-3686963.05770525,-3686.96305770525,663.384231437918,-5766.28683622727,-1662.06511733009
"13",-3984309.13808847,-3984.30913808847,668.250044164904,-6462.21398725591,-1884.38173495557
"14",-4256763.72372916,-4256.76372372916,633.948011850954,-6543.45570267781,-2139.93378059142
"15",-4533836.67161155,-4533.83667161155,605.585669855627,-6943.32400045968,-2652.55944490338
"16",-4790663.00105596,-4790.66300105596,584.744911139473,-6943.32400045968,-3042.2138470293
"17",-5037580.22783248,-5037.58022783248,576.262983342143,-7201.31608235451,-3145.38204151059
"18",-5269525.83803368,-5269.52583803368,567.214438977608,-7299.47748531262,-3663.74361161171
"19",-5505649.31379319,-5505.64931379319,565.575401097249,-7364.06050423298,-3663.74361161171
"20",-5738372.58967328,-5738.37258967328,577.167948663873,-7921.60199672999,-3884.99915072451
"21",-5982013.58288352,-5982.01358288352,571.215784420324,-8109.56170824114,-4152.00521821889
"22",-6248374.92865131,-6248.37492865131,545.719894922399,-8109.56170824114,-4507.24586303544
"23",-6472920.28411561,-6472.92028411561,540.473461878608,-8196.892874135,-4655.16167474391
"24",-6704431.41484574,-6704.43141484574,536.743063031963,-8371.37187338216,-4979.6326540902
"25",-6940291.16773305,-6940.29116773304,538.114493613097,-8531.98722972551,-4992.0127530124
"26",-7168325.21358984,-7168.32521358984,515.664958929321,-9231.67136155396,-5340.27800187601
"27",-7374535.66925991,-7374.53566925991,492.132796771435,-9231.67136155396,-5931.62944320171
"28",-7592846.58725459,-7592.84658725459,472.513438680646,-9231.67136155396,-6287.20325285894
"29",-7797106.66045798,-7797.10666045798,464.795645741806,-9231.67136155396,-6473.44167687397
"30",-7983801.56831694,-7983.80156831694,463.472520562804,-9690.44470923219,-6595.35134517888
"31",-8166950.92981336,-8166.95092981336,434.300403607604,-9690.44470923219,-6719.26870948769
"32",-8340437.82471141,-8340.43782471141,416.623101425669,-9690.44470923219,-7011.58720385709
"33",-8517642.17214369,-8517.64217214369,427.647021376174,-10125.5452377353,-7255.58619374783
"34",-8700043.40686348,-8700.04340686348,423.705123952555,-10442.2000019934,-7084.65498506392
"35",-8854232.50860131,-8854.23250860131,425.382077741402,-10442.2000019934,-7517.37336459923
"36",-9035295.32248041,-9035.29532248041,434.588541463729,-10791.310287158,-7661.40104018466
"37",-9215310.08483705,-9215.31008483705,408.020011579666,-10791.310287158,-7768.33859655962
"38",-9371166.09299036,-9371.16609299036,382.028631038235,-10791.310287158,-8033.51135907411
"39",-9538015.72717592,-9538.01572717592,353.551878861453,-10791.310287158,-8296.26065783433
"40",-9684225.13213475,-9684.22513213475,332.4378089096,-10791.310287158,-8468.33001009501
