"","Total","Media","DesvPad","Minimo","Maximo"
"1",1000345064.55157,100034.506455157,16205.9834422677,48951.8075249818,163676.099950434
"2",938029326.440512,93802.9326440512,14670.9454676006,45600.2497595078,163676.099950434
"3",883055951.918071,88305.5951918071,13194.8038817748,40748.7176078967,162549.740542366
"4",834963822.125607,83496.3822125607,12170.5285780222,39792.3132515857,162549.740542366
"5",789903501.163899,78990.3501163899,11591.8245507237,28048.0222104525,141922.144381307
"6",747917334.002474,74791.7334002474,11071.9945964449,39384.3673502242,123967.233305041
"7",708120276.751037,70812.0276751037,10611.4323627601,30694.3709087493,132492.478690654
"8",671103492.434726,67110.3492434727,10131.9872301782,32982.438831925,110688.958005807
"9",634225372.832001,63422.5372832001,9686.96805271698,28400.066297026,110262.495986239
"10",600985307.919713,60098.5307919713,9539.00376879388,24660.6939261229,104228.863024106
"11",568959463.413045,56895.9463413045,9298.58637607138,27622.2910746842,96917.6742658072
"12",538514311.004964,53851.4311004964,8941.87495347109,24815.9182377041,94995.5243320972
"13",508737794.121956,50873.7794121956,8631.08362566753,18043.3027283914,94821.960961995
"14",481591986.697176,48159.1986697176,8494.63020480555,18310.8923125986,91309.9830680408
"15",454564870.68769,45456.487068769,8218.56542379403,13814.057117244,93766.0094704595
"16",428170004.432012,42817.0004432012,7879.95756080097,13814.057117244,77418.2862147908
"17",404432582.790346,40443.2582790346,7756.14031107066,15247.9404415748,85836.4749023728
"18",380471075.041234,38047.1075041234,7580.07264552477,15247.9404415748,71411.7569807076
"19",357403749.784048,35740.3749784048,7361.46365559659,14111.7823031262,73223.1305655701
"20",334891804.75515,33489.180475515,7028.83419048837,11928.7096067762,73381.2019538874
"21",313907488.994318,31390.7488994318,6668.64999005181,11528.3276068145,70891.2495689852
"22",293913634.823175,29391.3634823175,6307.28202864995,10429.4797158185,62653.2736418153
"23",276733343.911054,27673.3343911054,6120.41715752689,10623.9846451933,60780.0173468301
"24",259877661.308231,25987.7661308231,5858.04169089272,8972.41951062635,62002.4410819436
"25",244587504.12277,24458.750412277,5564.64664218388,8972.41951062635,54252.0402440557
"26",229945095.444521,22994.5095444521,5360.94638301934,8825.43321448533,53266.5180031055
"27",215568179.364976,21556.8179364976,5156.08561357964,8400.54428319679,53968.3335785974
"28",203459881.401667,20345.9881401667,4968.88843055512,8029.46160213699,55021.2479889362
"29",191666265.08239,19166.626508239,4797.7307389676,6419.99221052862,50843.6045168848
"30",181137376.267997,18113.7376267997,4737.96218937598,6029.88522148769,48535.695404135
"31",171095898.320105,17109.5898320104,4580.05950869107,6029.88522148769,49014.5558691919
"32",162386225.179595,16238.6225179595,4473.65541963768,5891.52802642812,44665.84329353
"33",153604551.233327,15360.4551233327,4331.93318395416,5891.52802642812,45440.1254799895
"34",145876641.238194,14587.6641238194,4242.97659133844,5544.848001204,41476.1152610782
"35",138806163.752452,13880.6163752452,4212.76699057417,5544.848001204,41476.1152610782
"36",132040626.172025,13204.0626172025,4189.78932787989,4986.01971003433,42979.0685407314
"37",125608313.697624,12560.8313697624,4108.47244625491,5041.57408108996,42979.0685407314
"38",119274999.112991,11927.4999112991,4057.87368642848,4448.54862567438,42015.0797434663
"39",113317556.174892,11331.7556174892,3943.44825402906,4055.88279628503,40691.3894440981
"40",108143350.978757,10814.3350978757,3899.51742513147,3547.97265017369,39217.0494585576
"41",102665317.712942,10266.5317712942,3834.29625884784,3660.09533629336,31173.38480383
"42",98190817.322539,9819.0817322539,3868.95085747635,3660.09533629336,39199.7001223957
"43",93894509.3387796,9389.45093387796,3890.41140170784,3660.09533629336,38845.023722242
"44",89481342.0666488,8948.13420666488,3861.27758592852,3117.34696192813,38024.4984176497
"45",85514866.2730859,8551.48662730859,3823.49570413499,3040.63743940426,38024.4984176497
"46",81477810.5824948,8147.78105824948,3823.00035723965,3026.2015328353,35159.6810529032
"47",78010843.6624502,7801.08436624502,3810.38795577123,2832.13050268661,37488.7887067363
"48",74402809.1518723,7440.28091518723,3786.08574976191,2496.22252534051,35687.2378919901
"49",70635301.3381564,7063.53013381564,3726.32924639548,2411.75190967183,36661.0864599411
"50",67664108.4539449,6766.41084539449,3666.88055396603,2313.01971692393,27327.2777548755
"51",64858424.255789,6485.8424255789,3684.40684477777,2311.94462399652,28404.841627689
"52",62284086.8669086,6228.40868669086,3719.55540017069,1842.09541307829,35730.1433722767
"53",59633981.5628781,5963.39815628781,3687.34821823078,1842.09541307829,32768.5970696713
"54",57268934.5928824,5726.89345928824,3680.52820456123,1452.22515761991,34355.0897242471
"55",55482897.2932577,5548.28972932577,3739.89395101252,1452.22515761991,25250.6612246925
"56",52794028.2313882,5279.40282313882,3688.47968075036,1452.22515761991,33697.3385173364
"57",50400802.7479747,5040.08027479747,3635.81577400821,1313.21676404536,24704.4200130133
"58",48401611.6506586,4840.16116506586,3684.70940361373,1294.5636674492,33742.8893522167
"59",46756042.9571701,4675.60429571701,3741.59082250694,1310.17402454422,33742.8893522167
"60",44886298.6225229,4488.62986225229,3682.04035568475,1346.45181245547,23798.905405777
"61",43500798.7457445,4350.07987457445,3719.49120349922,1222.62564273578,32318.4536552913
"62",41834666.2495924,4183.46662495924,3735.91771820904,1183.57501531852,32770.4908093634
"63",39926335.3653168,3992.63353653168,3665.21167269276,1183.57501531852,32770.4908093634
"64",38705612.7797753,3870.56127797753,3736.96579209285,851.752080046576,23447.6070071235
"65",36879529.0279861,3687.95290279861,3616.3488383225,790.570301490579,23447.6070071235
"66",35628299.0137224,3562.82990137224,3681.85802985082,790.570301490579,23220.6566506339
"67",34530182.5375683,3453.01825375683,3676.4828482941,788.827731999703,32339.5212859823
"68",33274902.3947627,3327.49023947627,3681.7106939239,764.775937893192,31380.5086173926
"69",32158066.7927268,3215.80667927268,3679.7532923764,767.26262257742,31582.5555394724
"70",30989706.4531617,3098.97064531617,3657.33431049034,697.034181023354,31331.382567605
"71",30474287.8404197,3047.42878404197,3723.82153659536,720.960638157524,31602.8829487783
"72",29363206.7442903,2936.32067442903,3693.10358342559,628.638512865362,31160.2564633592
"73",28389966.4159073,2838.99664159073,3678.48532286729,585.659523969161,31463.397473129
"74",28097293.8226324,2809.72938226324,3743.50143767635,564.687702670761,31029.1146298765
"75",26986456.3426839,2698.64563426839,3705.70252853043,490.353037505566,31029.1146298765
"76",26147317.6542079,2614.73176542079,3654.31114316464,481.834866156882,30868.6082285012
"77",25446938.908447,2544.6938908447,3634.76350726458,406.396868264417,21373.0222357927
"78",24855262.0582538,2485.52620582538,3673.54964351466,416.933844750176,30952.6780402621
"79",24075807.3114036,2407.58073114036,3642.646942219,383.686982290166,30706.9944377868
"80",23586826.6791244,2358.68266791244,3636.09512170836,383.686982290166,21225.5306554941
"81",23131667.8485634,2313.16678485634,3667.86063434179,376.487849334297,30903.9985526913
"82",22268459.0001193,2226.84590001193,3602.08066157173,340.18652547204,30895.7191982829
"83",22178741.4041548,2217.87414041548,3633.3211681028,340.18652547204,20749.2727930378
"84",21894513.5360722,2189.45135360722,3675.40908174535,363.046925717778,30254.5230789792
"85",21122588.4898981,2112.25884898981,3641.36534382932,329.941645151812,30365.7699258788
"86",21379261.2917563,2137.92612917563,3707.56305483914,281.359855750471,30443.0800074696
"87",21283342.257748,2128.3342257748,3729.51145674541,281.359855750471,20686.7583068084
"88",20576954.5717532,2057.69545717532,3695.56066625977,265.919060102572,30233.1696328691
"89",20084632.9193228,2008.46329193228,3687.96835479078,244.47060303552,30197.4531361884
"90",20241143.8921529,2024.11438921529,3706.57004548746,230.373391356852,20532.5741038899
"91",19834610.1759135,1983.46101759135,3710.93190236043,211.196731332143,20477.3193133713
"92",19592294.5288868,1959.22945288868,3675.69297070101,210.268546945495,20448.9355700835
"93",19167584.7565701,1916.75847565701,3702.28353588363,210.268546945495,30213.0473163142
"94",18787534.8166973,1878.75348166973,3670.47098630532,210.268546945495,30167.173032462
"95",18751394.3278643,1875.13943278643,3687.34188429059,190.639667754801,30163.7813958024
"96",18300629.4543534,1830.06294543534,3658.44890456145,181.131623008103,30012.4060852982
"97",18126857.4246763,1812.68574246763,3664.84200944624,160.048165681651,30074.2488236071
"98",18137937.8164838,1813.79378164838,3671.84705053624,160.048165681651,30110.92279469
"99",18236574.8979003,1823.65748979003,3706.14720516018,160.048165681651,30057.1777935369
"100",18026677.9675055,1802.66779675055,3695.22142725751,160.048165681651,29987.7051948971
"101",17992240.8617807,1799.22408617807,3747.64465315659,158.407670013431,29987.7051948971
"102",17584614.3891522,1758.46143891522,3682.63996444804,149.2038100866,30077.3560614473
"103",17439710.2032124,1743.97102032124,3680.72790597493,149.2038100866,29932.4951167118
"104",17236505.9006649,1723.65059006649,3645.99852632991,139.520428053932,20129.3917706876
"105",17433676.8109678,1743.36768109678,3704.08524346745,125.527251431222,20153.3882844379
"106",17209389.281326,1720.9389281326,3693.42380803613,125.527251431222,29920.8256329368
"107",17151357.7249607,1715.13577249607,3717.97989202619,121.827132125956,39821.0562625382
"108",17069271.1793554,1706.92711793554,3705.56195185616,121.827132125956,39821.0562625382
"109",16953425.3382199,1695.34253382199,3713.50784015196,116.712358962866,39821.0562625382
"110",16826573.5867763,1682.65735867763,3731.26177882103,113.9966432183,39821.0562625382
"111",16288860.7946369,1628.88607946369,3624.34036832399,115.528297999998,29911.7455882679
"112",16547842.8954919,1654.78428954919,3656.40879794758,98.9038733406829,29883.2586524209
"113",16466569.6443706,1646.65696443706,3661.08763114509,101.276175645555,20036.7842146951
"114",16584747.3528281,1658.47473528281,3676.45091944795,87.8840609001993,20013.2609604561
"115",16613890.6553862,1661.38906553862,3677.44845765102,85.1758109880554,20021.5449184485
"116",16383514.4506212,1638.35144506212,3680.37572175808,82.2628272688987,20009.0318560239
