"","Total","Media","DesvPad","Minimo","Maximo"
"1",6802744800.33365,680274.480033365,447567.612655859,408.45216518197,1380592.02266566
"2",Inf,Inf,NA,398.677696877632,Inf
"3",Inf,Inf,NA,398.677696877632,Inf
"4",Inf,Inf,NA,398.677696877632,Inf
"5",Inf,Inf,NA,398.677696877632,Inf
"6",Inf,Inf,NA,420.804728044259,Inf
"7",Inf,Inf,NA,420.804728044259,Inf
"8",Inf,Inf,NA,398.863179917669,Inf
"9",Inf,Inf,NA,398.863179917669,Inf
"10",Inf,Inf,NA,417.520743679736,Inf
"11",Inf,Inf,NA,417.520743679736,Inf
"12",Inf,Inf,NA,417.520743679736,Inf
"13",Inf,Inf,NA,417.520743679736,Inf
"14",Inf,Inf,NA,407.712545602675,Inf
"15",Inf,Inf,NA,426.782818663179,Inf
"16",Inf,Inf,NA,426.782818663179,Inf
"17",Inf,Inf,NA,426.782818663179,Inf
"18",Inf,Inf,NA,426.782818663179,Inf
"19",Inf,Inf,NA,426.782818663179,Inf
"20",Inf,Inf,NA,426.782818663179,Inf
"21",Inf,Inf,NA,442.216414551302,Inf
"22",Inf,Inf,NA,483.788660111383,Inf
"23",Inf,Inf,NA,483.788660111383,Inf
"24",Inf,Inf,NA,483.788660111383,Inf
"25",Inf,Inf,NA,526.89501198569,Inf
"26",Inf,Inf,NA,526.89501198569,Inf
"27",Inf,Inf,NA,517.351542873444,Inf
"28",Inf,Inf,NA,517.351542873444,Inf
"29",Inf,Inf,NA,517.351542873444,Inf
"30",Inf,Inf,NA,497.266543221563,Inf
"31",Inf,Inf,NA,497.266543221563,Inf
"32",Inf,Inf,NA,497.266543221563,Inf
"33",Inf,Inf,NA,444.056057021211,Inf
"34",Inf,Inf,NA,497.266543221563,Inf
"35",Inf,Inf,NA,497.266543221563,Inf
"36",Inf,Inf,NA,497.98911689624,Inf
"37",Inf,Inf,NA,499.135774628746,Inf
"38",Inf,Inf,NA,499.135774628746,Inf
"39",Inf,Inf,NA,Inf,Inf
"40",NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA
"79",NA,NA,NA,NA,NA
"80",NA,NA,NA,NA,NA
"81",NA,NA,NA,NA,NA
"82",NA,NA,NA,NA,NA
"83",NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA
"85",NA,NA,NA,NA,NA
"86",NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA
"88",NA,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA
"90",NA,NA,NA,NA,NA
"91",NA,NA,NA,NA,NA
"92",NA,NA,NA,NA,NA
"93",NA,NA,NA,NA,NA
"94",NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA
"98",NA,NA,NA,NA,NA
"99",NA,NA,NA,NA,NA
"100",NA,NA,NA,NA,NA
