"","Total","Media","DesvPad","Minimo","Maximo"
"1",21520560.3722201,21520.5603722201,3843.46906055152,10429.985599652,34308.7832190309
"2",19734538.4604106,19734.5384604106,3366.87368161213,8672.51761026661,30729.1643541329
"3",18682407.9628533,18682.4079628533,3072.23790396947,8672.51761026661,29791.7636658278
"4",17850166.8041102,17850.1668041102,3005.49642041786,8672.51761026661,29905.5774092653
"5",16922301.3664099,16922.3013664099,2616.8538294615,8672.51761026661,30540.8493615447
"6",16296021.073824,16296.021073824,2604.79014899745,8672.51761026661,27751.8104592978
"7",15918370.4778128,15918.3704778128,2618.10169765736,7853.53807670704,28417.3817433407
"8",15472807.0593782,15472.8070593782,2582.30569536515,7853.53807670704,25884.7103266392
"9",15135941.617858,15135.941617858,2758.86131753769,7651.83821149087,25818.035515707
"10",14809246.4002679,14809.2464002679,2672.34366525754,7426.58563465983,25818.035515707
"11",14458905.4929359,14458.9054929359,2637.21606984561,7426.58563465983,28670.3264639224
"12",14145050.8402894,14145.0508402894,2652.36999553927,7426.58563465983,25439.7315708869
"13",13930720.4562575,13930.7204562575,2700.23611917156,6201.17174261848,27846.1863538668
"14",13664916.2994878,13664.9162994878,2623.74833909067,6201.17174261848,24848.5428509873
"15",13661325.2277227,13661.3252277227,2735.09293971653,6201.17174261848,26291.4588960805
"16",13325428.2033054,13325.4282033054,2663.79667823286,6201.17174261848,22624.7681834588
"17",13070041.9370264,13070.0419370264,2742.20520651496,6201.17174261848,26547.19611129
"18",13012258.16216,13012.25816216,2701.67788492604,5728.9338364773,26547.19611129
"19",12844989.5036434,12844.9895036434,2633.80126613497,5728.9338364773,26377.4578516866
"20",12834548.4965882,12834.5484965882,2760.65715295306,5728.9338364773,21934.6841961246
"21",12662987.9285613,12662.9879285613,2850.03785560321,5728.9338364773,23918.0081409202
"22",12558664.7853072,12558.6647853072,2827.36310763328,5728.9338364773,23248.888665036
"23",12584855.1289833,12584.8551289833,2881.04558556818,5728.9338364773,23586.1652926743
"24",12478033.7589317,12478.0337589317,2906.09064503343,5728.9338364773,23584.9513562965
"25",12385299.8446015,12385.2998446015,2879.65918855697,5728.9338364773,24956.5403194538
"26",12093405.9232459,12093.4059232459,2904.37391100492,5728.9338364773,25656.8973546184
"27",11830422.5982071,11830.4225982071,2762.27629178185,5557.11021105924,22940.4232052014
"28",11638268.9790841,11638.2689790841,2687.18321925494,5486.87306973955,20691.5336711752
"29",11520148.0434175,11520.1480434175,2707.83157852638,5486.87306973955,21639.8222355697
"30",11458113.9520635,11458.1139520635,2776.58172521989,5410.02338161039,22224.5529276301
"31",11301279.9014065,11301.2799014065,2852.642678037,5410.02338161039,23049.0434419235
"32",11189746.0409617,11189.7460409617,2803.51719612153,5232.96752501243,23487.0285822227
"33",11109866.8686183,11109.8668686183,2871.40219150855,5232.96752501243,21925.5340674714
"34",10989199.7043867,10989.1997043867,2939.66090836889,5232.96752501243,25319.5103912293
"35",11014436.2134367,11014.4362134367,2980.82787544885,5232.96752501243,23400.3189352437
"36",11013460.4510251,11013.4604510251,3082.12885812663,5232.96752501243,22482.2768315819
"37",10842056.7945079,10842.0567945079,3085.73181231168,5232.96752501243,21743.5962454837
"38",10718263.7593971,10718.2637593971,2979.26970021817,5232.96752501243,21250.3029159298
"39",10546639.9312216,10546.6399312216,2825.41311091741,5232.96752501243,20735.2704638099
"40",10454260.165373,10454.260165373,2864.43560130093,5232.96752501243,21628.628705583
"41",10404493.1986043,10404.4931986043,2826.55732788692,5232.96752501243,23018.1681698554
